clause_id,kind,implementation_targets,test_plan,phase,status
ONT-ASSEMBLY-INV-0001,invariant,"models/authority.py;services/change_sets.py","test_changeset_assembly.py::test_one_semantic_request_has_one_atomic_commit",implementation,planned
ONT-ASSEMBLY-INV-0002,invariant,"models/authority.py;services/changeset_assembly.py","test_changeset_assembly.py::test_failed_assembly_preserves_authority",implementation,planned
ONT-ASSEMBLY-INV-0003,invariant,"mcp/instrumented.py;services/changeset_assembly.py","test_changeset_assembly.py::test_output_size_does_not_change_domain_outcome",implementation,planned
ONT-ASSEMBLY-INV-0004,invariant,"services/change_sets.py;services/provider_intents.py","test_changeset_assembly.py::test_commit_receipt_reports_provider_queued",implementation,planned
ONT-ASSEMBLY-DEF-0001,definition,"models/authority.py;services/changeset_assembly.py","test_changeset_assembly.py::test_stage_creates_noncanonical_revision",implementation,planned
ONT-ASSEMBLY-DEF-0002,definition,"models/authority.py;internal_api/router.py","test_changeset_assembly.py::test_stage_operation_has_no_public_ref",implementation,planned
ONT-ASSEMBLY-DEF-0003,definition,"schemas/assembly.py;services/changeset_compiler.py","test_changeset_compiler.py::test_normalized_entry_is_source_correlated",implementation,planned
ONT-ASSEMBLY-REQ-0001,requirement,"mcp/server.py;services/changeset_assembly.py","test_changeset_assembly.py::test_first_stage_implicitly_creates_draft",implementation,planned
ONT-ASSEMBLY-REQ-0002,requirement,"models/authority.py;migrations/clean_versions","test_changeset_assembly_postgres.py::test_one_changeset_lineage_per_semantic_request",implementation,planned
ONT-ASSEMBLY-REQ-0003,requirement,"mcp/server.py;plugin/docket_discord","test_mcp_contract.py::test_assembly_schema_requires_no_model_bookkeeping",implementation,planned
ONT-ASSEMBLY-REQ-0004,requirement,"mcp/server.py;tool_contracts.py","test_mcp_contract.py::test_interactive_has_stage_review_commit_and_triage_does_not",implementation,planned
ONT-ASSEMBLY-REQ-0005,requirement,"schemas/assembly.py;services/interactive_authority.py","test_changeset_assembly.py::test_direct_and_assembled_commit_forms_are_exclusive",implementation,planned
