requirement_ref,decision_refs,model_or_schema_refs,tool_contract_refs,migration_refs,service_refs,test_refs,acceptance_refs,operational_verification_refs,status
ONT-REQ-0001,ONT-DEC-0007|ONT-DEC-0017,operator_utterances|OperatorUtterance,,migrations/versions/0028_provenance_bootstrap.py|migrations/versions/0029_runtime_provenance_inspection.py,src/docket/services/provenance.py,tests/integration/test_provenance_ledger.py::test_operator_utterance_is_verbatim_idempotent_and_immutable,ONT-ACC-0001,,implemented_verified
ONT-REQ-0002,ONT-DEC-0007|ONT-DEC-0017,operator_utterances|OperatorUtterance,interactive.authority_basis,migrations/versions/0028_provenance_bootstrap.py|migrations/versions/0029_runtime_provenance_inspection.py,src/docket/services/provenance.py|hermes/plugin/docket_discord,tests/integration/test_provenance_ledger.py::test_operator_utterance_is_verbatim_idempotent_and_immutable|tests/adversarial/test_plugin_actor_gate.py::test_trusted_ingress_fails_closed_when_utterance_cannot_persist,ONT-ACC-0001,ONT-OPS-UTTERANCE-FAIL-CLOSED-0001,implemented_verified
ONT-REQ-0003,ONT-DEC-0007|ONT-DEC-0017,OperatorUtteranceAuthority,interactive.changeset_commit,migrations/versions/0028_provenance_bootstrap.py|migrations/versions/0029_runtime_provenance_inspection.py,hermes/plugin/docket_discord/__init__.py|src/docket/mcp/instrumented.py,tests/integration/test_authority_model.py::test_interactive_clarification_resumes_commits_and_replays,ONT-ACC-0026,,implemented_verified
ONT-REQ-0004,ONT-DEC-0007,operator_utterances|OperatorUtterance,,migrations/versions/0028_provenance_bootstrap.py|migrations/versions/0029_runtime_provenance_inspection.py,src/docket/services/provenance.py,tests/integration/test_provenance_ledger.py::test_operator_utterance_is_verbatim_idempotent_and_immutable,ONT-ACC-0001,,implemented_verified
ONT-REQ-0005,ONT-DEC-0007,operator_utterances,,migrations/versions/0028_provenance_bootstrap.py|migrations/versions/0029_runtime_provenance_inspection.py,src/docket/services/provenance.py,tests/integration/test_provenance_ledger.py::test_operator_utterance_is_verbatim_idempotent_and_immutable,ONT-ACC-0001,,implemented_verified
ONT-REQ-0006,ONT-DEC-0007,operator_utterances.request_key|content_hash,,migrations/versions/0028_provenance_bootstrap.py|migrations/versions/0029_runtime_provenance_inspection.py,src/docket/services/provenance.py,tests/integration/test_provenance_ledger.py::test_operator_utterance_is_verbatim_idempotent_and_immutable,ONT-ACC-0002,,implemented_verified
ONT-REQ-0007,ONT-DEC-0017,agent_responses|AgentResponse,,migrations/versions/0028_provenance_bootstrap.py|migrations/versions/0029_runtime_provenance_inspection.py|migrations/versions/0035_agent_turn_response_linkage.py,src/docket/services/provenance.py|src/docket/services/discord_projection.py,tests/adversarial/test_plugin_actor_gate.py::test_agent_response_persistence_failure_blocks_discord_delivery|tests/integration/test_authority_model.py::test_intent_session_and_turn_survive_as_durable_exact_state|tests/adversarial/test_plugin_actor_gate.py::test_agent_response_persistence_failure_blocks_discord_delivery,ONT-ACC-0025,,implemented_verified
ONT-REQ-0008,ONT-DEC-0017,AgentResponse|DeliveryState,,migrations/versions/0028_provenance_bootstrap.py|migrations/versions/0029_runtime_provenance_inspection.py|migrations/versions/0035_agent_turn_response_linkage.py,src/docket/services/provenance.py,tests/adversarial/test_plugin_actor_gate.py::test_agent_response_persistence_failure_blocks_discord_delivery|tests/integration/test_authority_model.py::test_intent_session_and_turn_survive_as_durable_exact_state,ONT-ACC-0025,,implemented_verified
ONT-REQ-0009,ONT-DEC-0017,IntentTurn.response_disposition|agent_responses,ONT-TOOL-0006|ONT-TOOL-0007,migrations/versions/0028_provenance_bootstrap.py|migrations/versions/0029_runtime_provenance_inspection.py|migrations/versions/0035_agent_turn_response_linkage.py,src/docket/services/history.py|src/docket/services/provenance.py,tests/integration/test_history.py::test_exact_history_lookup_and_conversation_reconstruction_are_public_and_bounded|tests/integration/test_authority_model.py::test_intent_session_and_turn_survive_as_durable_exact_state,ONT-ACC-0025,ONT-OPS-DISCORD-OUTAGE-0001,implemented_verified
ONT-REQ-0010,ONT-DEC-0007,interpreted_statements,,migrations/versions/0028_provenance_bootstrap.py|migrations/versions/0029_runtime_provenance_inspection.py,src/docket/services/statements.py,tests/integration/test_authority_model.py::test_statement_derivation_allows_zero_and_replays_without_mutation,ONT-ACC-0027,,implemented_verified
ONT-REQ-0011,ONT-DEC-0007,InterpretedStatement,,migrations/versions/0028_provenance_bootstrap.py|migrations/versions/0029_runtime_provenance_inspection.py,src/docket/services/statements.py,tests/integration/test_authority_model.py::test_statement_derivation_allows_zero_and_replays_without_mutation,ONT-ACC-0027,,implemented_verified
ONT-REQ-0012,ONT-DEC-0007,interpreted_statements.utterance_ref,,migrations/versions/0028_provenance_bootstrap.py|migrations/versions/0029_runtime_provenance_inspection.py,src/docket/services/statements.py,tests/integration/test_history.py::test_exact_history_lookup_and_conversation_reconstruction_are_public_and_bounded,ONT-ACC-0027,,implemented_verified
ONT-REQ-0013,,statement_relations|StatementRelation,ONT-TOOL-0006|ONT-TOOL-0007,migrations/versions/0030_authority_model.py,src/docket/services/statements.py|src/docket/services/history.py,tests/integration/test_authority_model.py::test_nonoverlap_and_explicit_supersession_do_not_open_conflict,ONT-ACC-0004,,implemented_verified
ONT-REQ-0014,,InterpretedStatement,interactive.changeset_commit,migrations/versions/0030_authority_model.py,src/docket/services/statements.py|src/docket/services/change_sets.py,tests/integration/test_authority_model.py::test_statement_derivation_allows_zero_and_replays_without_mutation|tests/integration/test_authority_model.py::test_interactive_clarification_resumes_commits_and_replays,ONT-ACC-0027,,implemented_verified
ONT-REQ-0015,ONT-DEC-0018,ProvenanceRef|CanonicalAssertionProvenance,ONT-TOOL-0006|ONT-TOOL-0007,migrations/versions/0028_provenance_bootstrap.py|migrations/versions/0029_runtime_provenance_inspection.py,src/docket/services/provenance.py,tests/integration/test_typed_registry.py::test_rich_registry_graph_commits_atomically_with_create_references|tests/integration/test_canonical_event_changesets.py::test_rich_event_changeset_commits_event_route_and_provider_intents_without_approval,ONT-ACC-0021,,implemented_verified
ONT-REQ-0016,,CanonicalAssertionStatus|validity_intervals,ONT-TOOL-0007,migrations/versions/0031_typed_registry.py,src/docket/services/provenance.py|src/docket/services/registry.py,tests/integration/test_typed_registry.py::test_fact_supersession_preserves_historical_assertion,ONT-ACC-0004,,implemented_verified
ONT-REQ-0017,ONT-DEC-0018,ProvenanceRef,ONT-TOOL-0006|ONT-TOOL-0007,migrations/versions/0028_provenance_bootstrap.py|migrations/versions/0029_runtime_provenance_inspection.py,src/docket/services/history.py,tests/integration/test_typed_registry.py::test_rich_registry_graph_commits_atomically_with_create_references|tests/integration/test_history.py::test_exact_history_lookup_and_conversation_reconstruction_are_public_and_bounded,ONT-ACC-0021,,implemented_verified
ONT-REQ-0018,,Conflict,ONT-TOOL-0008,migrations/versions/0030_authority_model.py,src/docket/services/conflicts.py,tests/integration/test_typed_registry.py::test_ambiguous_fact_contradiction_opens_conflict_and_preserves_canonical_value,ONT-ACC-0005,,implemented_verified
