requirement_ref,schema_or_model_refs,tool_contract_refs,schema_baseline_refs,service_refs,test_refs,acceptance_refs,operational_verification_refs,status
ONT-TRACK-INV-0010,PublicRefRegistry,,clean_baseline,src/docket/domain/public_refs.py,tests/unit/test_tracked_context_primitives.py::test_clean_public_reference_registry_has_one_meaning_per_prefix|tests/unit/test_tracked_context_primitives.py::test_discarded_public_reference_prefixes_are_unknown,ONT-TRACK-ACC-0001|ONT-TRACK-ACC-0016,,implemented_verified
ONT-TRACK-DEC-0003,OperatorVocabulary,,clean_baseline,src/docket/domain/public_refs.py,tests/unit/test_tracked_context_primitives.py::test_clean_public_reference_registry_has_one_meaning_per_prefix,ONT-TRACK-ACC-0002|ONT-TRACK-ACC-0016,,implemented_verified
ONT-TRACK-REQ-0042,PublicRefRegistry,,clean_baseline,src/docket/domain/public_refs.py,tests/integration/test_tracked_context_readiness.py::test_tracked_context_namespace_has_one_clean_meaning_per_prefix,ONT-TRACK-ACC-0001|ONT-TRACK-ACC-0016,,implemented_verified
ONT-TRACK-INV-0001,Item|CaseItem|BriefEntry,,items|case_items|brief_entries,src/docket/domain/public_refs.py,tests/unit/test_tracked_context_primitives.py::test_existing_model_generators_emit_clean_reassigned_prefixes,ONT-TRACK-ACC-0001,,implemented_verified
ONT-TRACK-INV-0011,OperatorProjection|ProjectionDelivery,,operator_projections|projection_deliveries,src/docket/services/discord_projection.py,tests/integration/test_clean_semantic_options.py::test_projection_option_selection_is_one_typed_authority_chain,ONT-TRACK-ACC-0019,,implemented_verified
ONT-TRACK-INV-0012,ExecutionLease,,execution_leases,src/docket/services/continuity.py,tests/integration/test_migrations.py::test_clean_namespace_columns_are_unambiguous,ONT-TRACK-ACC-0016,,implemented_verified
ONT-TRACK-REQ-0043,OperatorProjection|PersistedSemanticOption,,operator_projections|persisted_semantic_options,src/docket/services/semantic_options.py,tests/integration/test_clean_semantic_options.py::test_projection_option_selection_is_one_typed_authority_chain,ONT-TRACK-ACC-0019,,implemented_verified
ONT-TRACK-INV-0002,Entity|Item,,entities|items,src/docket/services/tracked_context.py,tests/integration/test_tracked_context_graph.py::test_item_context_and_network_preserve_typed_primitive_boundaries,ONT-TRACK-ACC-0002|ONT-TRACK-ACC-0007,,implemented_verified
ONT-TRACK-REQ-0001,Item,,items,src/docket/services/tracked_context.py,tests/integration/test_tracked_context_changesets.py::test_one_changeset_atomically_creates_item_task_and_due_date|tests/integration/test_tracked_context_graph.py::test_item_context_and_network_preserve_typed_primitive_boundaries,ONT-TRACK-ACC-0002|ONT-TRACK-ACC-0006,,implemented_verified
ONT-TRACK-INV-0003,Item,,items,src/docket/services/tracked_context.py,tests/integration/test_tracked_context_graph.py::test_item_context_and_network_preserve_typed_primitive_boundaries,ONT-TRACK-ACC-0004|ONT-TRACK-ACC-0007,,implemented_verified
ONT-TRACK-REQ-0002,Item.kind,,items,src/docket/services/tracked_context.py,tests/unit/test_tracked_context_primitives.py::test_item_kind_is_descriptive_and_metadata_is_byte_bounded,ONT-TRACK-ACC-0002|ONT-TRACK-ACC-0007,,implemented_verified
ONT-TRACK-REQ-0003,Item.context_entity_refs|Item.parent_item_ref,,items,src/docket/services/tracked_context.py,tests/integration/test_tracked_context_graph.py::test_item_context_and_network_preserve_typed_primitive_boundaries|tests/integration/test_tracked_context_changesets.py::test_item_parent_update_rejects_transitive_cycle,ONT-TRACK-ACC-0002|ONT-TRACK-ACC-0007,,implemented_verified
ONT-TRACK-REQ-0004,Item.metadata_json,,items,src/docket/services/tracked_context.py,tests/unit/test_tracked_context_primitives.py::test_item_kind_is_descriptive_and_metadata_is_byte_bounded,ONT-TRACK-ACC-0006,,implemented_verified
ONT-TRACK-REQ-0005,Fact.subject_ref,,facts,src/docket/services/registry.py,tests/integration/test_tracked_context_graph.py::test_item_context_and_network_preserve_typed_primitive_boundaries,ONT-TRACK-ACC-0006|ONT-TRACK-ACC-0007,,implemented_verified
ONT-TRACK-REQ-0006,ItemSourceBinding,,items|item_source_bindings,src/docket/services/tracked_context.py,tests/integration/test_attachment_evidence.py::test_source_fragment_binding_replays_import_without_duplicate_context|tests/integration/test_attachment_evidence.py::test_identical_bytes_in_distinct_uploads_do_not_merge_items,ONT-TRACK-ACC-0005|ONT-TRACK-ACC-0010,,implemented_verified
